Seção;Denominação_sessao;Divisão;Denominação_divisao;Grupo;Denominação_grupo;Classe;Denominação_classe;Subclasse;Denominação_subclasse;Grande_Grupamento;Grupamentos_de_Atividades;Subgrupamentos_de_Atividades
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.11-3;Cultivo de cereais;0111301;Cultivo de arroz;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.11-3;Cultivo de cereais;0111302;Cultivo de milho;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.11-3;Cultivo de cereais;0111303;Cultivo de trigo;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.11-3;Cultivo de cereais;0111399;Cultivo de outros cereais não especificados anteriormente;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;0112101;Cultivo de algodão herbáceo;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;0112102;Cultivo de juta;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;0112199;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.13-0;Cultivo de cana-de-açúcar;0113000;Cultivo de cana-de-açúcar;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.14-8;Cultivo de fumo;0114800;Cultivo de fumo;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.15-6;Cultivo de soja;0115600;Cultivo de soja;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.16-4;Cultivo de oleaginosas de lavoura temporária, exceto soja;0116401;Cultivo de amendoim;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.16-4;Cultivo de oleaginosas de lavoura temporária, exceto soja;0116402;Cultivo de girassol;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.16-4;Cultivo de oleaginosas de lavoura temporária, exceto soja;0116403;Cultivo de mamona;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.16-4;Cultivo de oleaginosas de lavoura temporária, exceto soja;0116499;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119901;Cultivo de abacaxi;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119902;Cultivo de alho;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.0;Agricultura, pecuária e serviços relacionados;1.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0119903;Cultivo de batata-inglesa;Agropecuária;Agricultura, pecuária, produção florestal, pesca e aquicultura;
