CODIBGE;CDIBGE6D;Nome_Mun;Regiao_Turistica
5200050;520005;Abadia de Goiás;Municípios fora da Região
5200100;520010;Abadiânia;Região Turística Encantos do Planalto Central
5200134;520013;Acreúna;Municípios fora da Região
5200159;520015;Adelândia;Municípios fora da Região
5200175;520017;Água Fria de Goiás;Municípios fora da Região
5200209;520020;Água Limpa;Municípios fora da Região
5200258;520025;Águas Lindas de Goiás;Municípios fora da Região
5200308;520030;Alexânia;Região Turística Encantos do Planalto Central
5200506;520050;Aloândia;Municípios fora da Região
5200555;520055;Alto Horizonte;Municípios fora da Região
5200605;520060;Alto Paraíso de Goiás;Região Turística da Chapada dos Veadeiros
5200803;520080;Alvorada do Norte;Municípios fora da Região
5200829;520082;Amaralina;Municípios fora da Região
5200852;520085;Americano do Brasil;Municípios fora da Região
5200902;520090;Amorinópolis;Municípios fora da Região
5201108;520110;Anápolis;Região Turística dos Negócios e Tradições
5201207;520120;Anhanguera;Municípios fora da Região
5201306;520130;Anicuns;Região Turística dos Negócios e Tradições
5201405;520140;Aparecida de Goiânia;Municípios fora da Região
5201454;520145;Aparecida do Rio Doce;Municípios fora da Região
5201504;520150;Aporé;Municípios fora da Região
5201603;520160;Araçu;Municípios fora da Região
5201702;520170;Aragarças;Região Turística Vale do Araguaia
5201801;520180;Aragoiânia;Municípios fora da Região
5202155;520215;Araguapaz;Municípios fora da Região
5202353;520235;Arenópolis;Municípios fora da Região
5202502;520250;Aruanã;Região Turística Vale do Araguaia
5202601;520260;Aurilândia;Região Turística Pegadas no Cerrado
5202809;520280;Avelinópolis;Municípios fora da Região
5203104;520310;Baliza;Região Turística Chapada das Emas
5203203;520320;Barro Alto;Municípios fora da Região
5203302;520330;Bela Vista de Goiás;Região Turística dos Negócios e Tradições
5203401;520340;Bom Jardim de Goiás;Região Turística Chapada das Emas
5203500;520350;Bom Jesus de Goiás;Municípios fora da Região
5203559;520355;Bonfinópolis;Região Turística da Estrada de Ferro
5203575;520357;Bonópolis;Municípios fora da Região
5203609;520360;Brazabrantes;Municípios fora da Região
5203807;520380;Britânia;Região Turística Vale do Araguaia
5203906;520390;Buriti Alegre;Região Turística Lagos do Paranaíba
5203939;520393;Buriti de Goiás;Região Turística do Ouro 
5203962;520396;Buritinópolis;Região Turística Terra Ronca
5204003;520400;Cabeceiras;Municípios fora da Região
5204102;520410;Cachoeira Alta;Municípios fora da Região
5204201;520420;Cachoeira de Goiás;Municípios fora da Região
5204250;520425;Cachoeira Dourada;Região Turística Lagos do Paranaíba
5204300;520430;Caçu;Região Turística Lagos do Paranaíba
5204409;520440;Caiapônia;Região Turística Chapada das Emas
5204508;520450;Caldas Novas;Região Turística das Águas Quentes
5204557;520455;Caldazinha;Municípios fora da Região
5204607;520460;Campestre de Goiás;Região Turística dos Negócios e Tradições
5204656;520465;Campinaçu;Municípios fora da Região
5204706;520470;Campinorte;Municípios fora da Região
5204805;520480;Campo Alegre de Goiás;Municípios fora da Região
5204854;520485;Campo Limpo de Goiás;Municípios fora da Região
5204904;520490;Campos Belos;Municípios fora da Região
5204953;520495;Campos Verdes;Região Turística do Ouro 
5205000;520500;Carmo do Rio Verde;Municípios fora da Região
5205059;520505;Castelândia;Municípios fora da Região
5205109;520510;Catalão;Municípios fora da Região
5205208;520520;Caturaí;Municípios fora da Região
5205307;520530;Cavalcante;Região Turística da Chapada dos Veadeiros
5205406;520540;Ceres;Municípios fora da Região
5205455;520545;Cezarina;Municípios fora da Região
